;Gene;Pearson Correlation;p_value;Spearman Correlation;Spearman p_value;n;min_score;max_score;p_value_FDR;Spearman p_value_FDR
856;MYC;0.6594351654109767;0.0004563023812594379;0.6643478260869564;0.00039924328712659537;24;-2.7309685007121645;-0.6801883901335983;0.16479611279133627;0.10568540157794017
346;DMAP1;0.6509207386363863;0.0005720059096200348;0.6008695652173912;0.0019025985739905015;24;-1.6970524543391474;-0.5195204243289839;0.16479611279133627;0.14102060630417595
919;NOB1;0.608019770731116;0.001621971731233853;0.6147826086956522;0.0013898820033517749;24;-1.6179889730915689;-0.5745760064096536;0.24367981814360462;0.1355500711689915
320;DDX49;0.6072788661976568;0.0016493017864625094;0.6217391304347826;0.001181409133127283;24;-2.3857878964091483;-0.7225776865779265;0.24367981814360462;0.1355500711689915
514;GGPS1;0.599651750368025;0.0019542976859890857;0.6165217391304347;0.0013350175981865396;24;-2.032220848015895;0.0496151984984136;0.24367981814360462;0.1355500711689915
305;DDX10;0.5831735112567868;0.002780557365423025;0.5182608695652173;0.009476192167472693;24;-2.4734664028841395;-0.4645984988252102;0.24367981814360462;0.30274800148839487
1383;SAP18;0.5795456875675715;0.0029976478504898925;0.62;0.0012308328706616477;24;-1.369135875449804;-0.4099486855868227;0.24367981814360462;0.1355500711689915
928;NOL9;0.5769508156528455;0.0031615880219214056;0.6026086956521738;0.0018307926730697914;24;-1.519737491340157;-0.4100792798828787;0.24367981814360462;0.14102060630417595
1250;RIOK1;0.5744488352736917;0.003326782548342763;0.6269565217391303;0.00104321480961748;24;-1.530443368411447;-0.503013174446264;0.24367981814360462;0.1355500711689915
1777;WDR18;0.5734881156852464;0.0033921251083555673;0.5304347826086956;0.007665625679948597;24;-2.070237501069999;-0.1152510514102669;0.24367981814360462;0.263044525647125
1510;SRFBP1;0.5730954178463102;0.0034191447769744846;0.6234782608695651;0.0011336973606633706;24;-1.2952184280776105;-0.1042720808525983;0.24367981814360462;0.1355500711689915
1723;URB2;0.5481035933009026;0.005556710944290651;0.5226086956521738;0.008792755659654788;24;-1.3157119627327567;-0.2156268808895168;0.34321951265901923;0.2858416883743916
1598;THG1L;0.5421194964830846;0.006208318226957598;0.64;0.0007568767697969987;24;-1.2225604035675708;-0.0007230151709606;0.3595004273297634;0.1355500711689915
1842;ZNF574;0.5334070350258375;0.007270362202459687;0.5547826086956522;0.004898108173454637;24;-1.1931997257159588;-0.0369450299394104;0.37392289940823753;0.2327229344977293
632;IMP3;0.5327944026590475;0.007350411580595144;0.528695652173913;0.007905085955029822;24;-2.0422960825834844;-0.7127223933715388;0.37392289940823753;0.266329532266732
1660;TSR2;0.5327241561269117;0.007359637066043154;0.5434782608695652;0.006055021007749123;24;-2.437778259753437;-0.968560184922449;0.37392289940823753;0.24391204189911142
937;NOP9;0.5305304808820709;0.007652626296948852;0.5321739130434783;0.007432234862799776;24;-1.5119557879875043;-0.2883156352233251;0.37392289940823753;0.263044525647125
1745;UTP4;0.5292052913412533;0.00783427810356259;0.551304347826087;0.005232389972592129;24;-2.098034584885418;-0.4012391975233076;0.37392289940823753;0.23466422167994305
799;MLST8;0.5288958221100001;0.007877211676089908;0.46956521739130425;0.020609713704158827;24;-1.5072204132090536;-0.1209869700462035;0.37392289940823753;0.39370927313202375
370;DYNLL1;0.5240632221021392;0.008573461783010324;0.5504347826086956;0.005318886837861634;24;-1.4411317351546065;0.0780513108756976;0.37594293012917473;0.23466422167994305
464;FARSA;0.5200599398236514;0.00918824443861435;0.6026086956521738;0.0018307926730697914;24;-1.7600913083081189;-0.4531843107178742;0.37594293012917473;0.14102060630417595
1784;WDR46;0.5192236654440899;0.009321177518619004;0.5678260869565217;0.0037996733225035564;24;-1.7518737995291256;-0.3883076788712183;0.37594293012917473;0.21089430655742056
1089;POP1;0.519152043565344;0.009332636149995703;0.48521739130434777;0.01624446218040303;24;-1.4435787061205114;-0.7700941078503196;0.37594293012917473;0.3762623552535852
1095;PPAN;0.5162302777909356;0.009810135940233975;0.5356521739130434;0.006983184749703951;24;-1.602578370543169;-0.6747061129251611;0.3822697048590742;0.2587968268240284
8;ABT1;0.5146433117756558;0.010077852362052116;0.5782608695652174;0.0030778970421024353;24;-1.7789979238643805;-0.4053564529006184;0.3822697048590742;0.18143392994870916
34;ALG1;0.5140985534455378;0.010171133105433505;0.47130434782608693;0.020082231188607965;24;-1.463942025433782;-0.032740140805251;0.3822697048590742;0.39370927313202375
105;BAP1;0.5099769274961187;0.010900288547413943;0.4860869565217391;0.016026057350818954;24;-1.022042037126811;0.0047072619391329;0.38695515506645267;0.3759023325451585
1283;RPL14;0.5083897605344639;0.011192340441852593;0.5895652173913043;0.00243045519129241;24;-2.594616287233589;-1.037372864519562;0.38695515506645267;0.16084405248088698
1301;RPL32;0.5073544761949046;0.011386297300527572;0.5634782608695652;0.004139998914296158;24;-2.9092289417922537;-1.6200872528600587;0.38695515506645267;0.21089430655742056
1152;PSMB6;0.5062711235169635;0.011592218828590906;0.47478260869565214;0.019060098667360623;24;-2.280167777909077;-0.5187571272505636;0.38695515506645267;0.39242625367354705
1749;VARS1;0.5057400827279358;0.011694273439676928;0.5408695652173913;0.0063521895787367125;24;-2.2621787890240923;-0.8609255796093308;0.38695515506645267;0.24914799001596968
842;MSTO1;0.5019082857724213;0.012452822156201667;0.5130434782608695;0.010353828161824782;24;-1.975498535788132;-0.2602644661825485;0.39110304161765574;0.3145187472764151
1529;SSB;0.5004093268713196;0.012760362863507249;0.5634782608695652;0.004139998914296158;24;-1.0240361107241025;-0.3409838919304087;0.39408253976798224;0.21089430655742056
465;FARSB;0.4975169209892466;0.013371450630279074;0.5478260869565217;0.005585606044072471;24;-2.413237927916009;-0.7515385804196675;0.3997065805785351;0.24070065115502998
497;GAPDH;0.49666677685181404;0.013555563186003091;0.43652173913043474;0.032952895775527076;24;-1.9297351494464736;-0.2490143628475885;0.3997065805785351;0.46970550670808975
1280;RPL12;0.4950662449501394;0.01390783032241414;0.551304347826087;0.005232389972592129;24;-3.2873992538410106;-1.4874289627471342;0.4026751498036469;0.23466422167994305
690;KRR1;0.49319776774918844;0.0143285332153969;0.5460869565217391;0.0057695732589104496;24;-1.8721844325688313;-0.2604301739203687;0.4084734161250839;0.24297771019911507
1337;RPS16;0.48643262069704757;0.015939907318786726;0.5043478260869565;0.011965355177749597;24;-2.9026330827131535;-1.2347302100545323;0.41975168535762025;0.33567718768440347
1151;PSMB5;0.48525259626108697;0.016235572960703323;0.46347826086956523;0.022544972852183147;24;-2.938582608531221;-0.3126847731826587;0.41975168535762025;0.4136221256940136
988;OSGEP;0.4836881585290875;0.016634444505088816;0.4495652173913043;0.027521911769761147;24;-1.7062394681608242;-0.4056458393085645;0.42224144750588466;0.4553402009764947
292;DAD1;0.48244191125864594;0.016957879108181168;0.3921739130434782;0.05803633887025061;24;-2.1437157952883297;-0.6575467770922399;0.424634459289996;0.5435849775890391
1372;RSL24D1;0.4802415155619789;0.020377492641220876;0.48023715415019763;0.020378798193912306;23;-2.6316044512330197;-1.197007153284144;0.45855458036124547;0.39370927313202375
1185;PWP2;0.47680410575545024;0.018485744314895303;0.5052173913043477;0.011795445350401593;24;-1.7755327178885902;-0.3923708079905253;0.4507116344144868;0.33567718768440347
434;EP400;0.4751250908666736;0.018961784696963815;0.4417391304347826;0.03068651988568402;24;-1.3268740408351518;-0.4486750274890728;0.45631411744771366;0.4604071872234041
0;AAMP;0.4706754990620678;0.02027168411881764;0.5060869565217391;0.011627528283361447;24;-1.4979732058264583;-0.0576420927249674;0.45855458036124547;0.33567718768440347
1497;SPCS2;0.46916365608862565;0.02073308918750518;0.5156521739130434;0.009906970265358948;24;-1.179878523180278;-0.5101832589520385;0.45855458036124547;0.30596026502850215
742;MASTL;0.46742564530857766;0.02127399112894965;0.4234782608695652;0.03920394759394161;24;-2.1173950263041;-0.1962890711563549;0.45855458036124547;0.48983188631326846
593;HIRA;0.46727923004021354;0.021320074915585;0.3904347826086956;0.05925750969939877;24;-1.3459386655175314;0.0904406208023066;0.45855458036124547;0.5435849775890391
1437;SLC35B1;0.4647931546103326;0.022114968111345286;0.4165217391304347;0.04290081752203024;24;-1.8045242742083665;-0.2431611521348036;0.45855458036124547;0.5063389482058728
331;DHPS;0.4633438098618079;0.022589319689417804;0.4721739130434783;0.019822625417352625;24;-1.593544246205841;-0.3192815263748683;0.45855458036124547;0.39370927313202375
252;COPE;0.46292982469329214;0.02272630961454228;0.4513043478260869;0.02685552027560792;24;-1.712274712922379;0.0612949027329337;0.45855458036124547;0.448317829465779
1410;SERBP1;0.46211224647424487;0.0229988208267116;0.3834782608695652;0.06434139809221918;24;-1.3713001719738127;-0.1621302562368166;0.45855458036124547;0.5519657901151952
1335;RPS15;0.462065915822211;0.023014342133618904;0.45217391304347826;0.0265272136321037;24;-2.8438320091132545;-1.4425884121864732;0.45855458036124547;0.4468629714571651
1092;POP7;0.46005102304908396;0.02369757625623245;0.577391304347826;0.0031332357033776004;24;-1.3322941163466813;-0.0954280268814394;0.46656610992229475;0.18143392994870916
360;DPF2;0.4547449887144006;0.025575301412751703;0.2069565217391304;0.3318915676831471;24;-1.6393070743057103;-0.2529037296287541;0.4885673558539062;0.831788605102154
65;ARL2;0.452085034356395;0.026560621468754493;0.5165217391304348;0.009761613063737264;24;-1.953609559309846;-0.8951883172898407;0.49150875138013234;0.30596026502850215
656;ISG20L2;0.4515324421343087;0.026769088964021144;0.4234782608695652;0.03920394759394161;24;-1.1517330360830278;-0.3649300254909661;0.49150875138013234;0.48983188631326846
1184;PWP1;0.45008654034169565;0.027320777869483878;0.4591304347826086;0.024015134743792042;24;-1.1277189188354737;-0.1993247111564184;0.49150875138013234;0.4278850450023717
1366;RRP12;0.4457977610726692;0.029010981101261157;0.4434782608695652;0.029959339686467554;24;-1.777582811888195;-0.7390400240712205;0.5119747426727327;0.4604071872234041
618;HYOU1;0.44194446221769934;0.03059993872470649;0.48086956521739127;0.017373241582602485;24;-1.544694322122964;-0.0469488491289568;0.527760033268969;0.3787366665007341
923;NOL10;0.44166490041563844;0.030717868126185606;0.35478260869565215;0.08891743107314608;24;-1.8013632775067632;-0.5155129008100058;0.527760033268969;0.6383898505605603
405;EIF3I;0.44102565076904504;0.030988889843523063;0.4408695652173913;0.031055354027520514;24;-1.9676850747143804;-0.883983548995002;0.527760033268969;0.4604071872234041
1307;RPL37;0.43878630134687646;0.03195338043903982;0.4626086956521739;0.022833034205313615;24;-2.1799318426605394;-0.4316404799114803;0.5382692177594617;0.41480012139653066
1659;TSR1;0.4363887271520772;0.033012367958757824;0.4339130434782608;0.0341349601326374;24;-1.9591884429787456;-0.639613461429805;0.5461778377462343;0.4791824327710386
211;CHAF1B;0.4325660847887602;0.03475834736188462;0.4234782608695652;0.03920394759394161;24;-2.3511443671082253;-1.0285057947837388;0.5495787098329612;0.48983188631326846
1394;SCD;0.4314945422520141;0.03526069299788767;0.34434782608695647;0.09940670099301682;24;-1.5870681175186423;0.1795260864372161;0.5495787098329612;0.6463179541756497
1126;PRMT1;0.4314938994880448;0.03526099604788588;0.4860869565217391;0.016026057350818954;24;-2.234352291586294;-0.5332765863495849;0.5495787098329612;0.3759023325451585
1663;TTC4;0.42869610638068634;0.036599802491741724;0.33999999999999997;0.10403796669819437;24;-1.1075556687771442;-0.0552549403710022;0.5495787098329612;0.6512917307153857
1064;POLR1C;0.4282553940577268;0.036814313079901954;0.5043478260869565;0.011965355177749597;24;-2.265317212926724;-0.6406434450064087;0.5495787098329612;0.33567718768440347
1775;WDR1;0.4267388594510742;0.03756007889655948;0.497391304347826;0.013398524953480468;24;-1.683660146936636;0.0737707178791623;0.5495787098329612;0.35459239754366123
402;EIF3F;0.42644947371204234;0.0377037338731792;0.4060869565217391;0.048953428980557864;24;-1.7978888895703076;-0.657250344459049;0.5495787098329612;0.5180695230140421
754;MCM6;0.42578428291550885;0.03803559048042254;0.5626086956521739;0.004211057389435812;24;-1.4912114684107332;-0.4303634561776707;0.5495787098329612;0.21089430655742056
1780;WDR3;0.4236363539169601;0.039122955679030146;0.42260869565217385;0.039651798676195504;24;-1.7006252728060525;-0.6324718913508494;0.5495787098329612;0.48983188631326846
359;DPAGT1;0.4225260953635583;0.03969454916038069;0.38956521739130434;0.059875479374870595;24;-2.323239095963604;0.1952327167388889;0.5495787098329612;0.5441919602724616
219;CHMP4B;0.4222254068534326;0.03985048015434258;0.38608695652173913;0.06239715956765035;24;-2.27310538055452;0.4793233405216826;0.5495787098329612;0.5505806508516957
343;DKC1;0.4198250213712351;0.041112658038629915;0.42956521739130427;0.03617967533529114;24;-1.8406950317696495;-0.6335228868008962;0.5495787098329612;0.48983188631326846
666;KAT5;0.41726600782770645;0.04249268835638541;0.3904347826086956;0.05925750969939877;24;-1.0569157345690985;-0.1994002049002848;0.5495787098329612;0.5435849775890391
394;EIF2B5;0.41607331363102706;0.04314819991221043;0.44;0.03142771515017861;24;-1.6068496779229413;-0.5988663933971731;0.5495787098329612;0.4604071872234041
159;CCNK;0.41579565128241414;0.04330193828149613;0.4060869565217391;0.048953428980557864;24;-1.7518165140987048;-1.190191682214792;0.5495787098329612;0.5180695230140421
938;NOPCHAP1;0.41372919366163224;0.04445966684777307;0.35739130434782607;0.08642975682138664;24;-1.001210424646803;0.0884433565064886;0.5508464466110461;0.6383898505605603
1792;WDR75;0.4134560196584329;0.044614510858090206;0.4391304347826086;0.031803626532431586;24;-2.0755629138729645;-0.7364624017645106;0.5508464466110461;0.4604071872234041
1091;POP5;0.4129750130356003;0.04488818857974526;0.41826086956521735;0.041951916181776266;24;-2.1300643944950313;-0.5008269408559922;0.5508464466110461;0.5063389482058728
1580;TBL3;0.41192597131833286;0.04548962398924596;0.45826086956521733;0.024318233006425286;24;-1.7827141475289952;-0.5066426898941815;0.5524781086426884;0.4291589120086291
1190;RAB18;0.4117043999718178;0.04561745851178162;0.3139130434782608;0.13522381083434734;24;-1.1380039578714043;0.5735748806664914;0.5524781086426884;0.69186086170439
924;NOL11;0.405961348821734;0.0490301386093945;0.40086956521739125;0.05221946082129628;24;-1.1243439176649757;-0.3062221657374117;0.5616120176920305;0.5230006429890821
630;ILF2;0.4057877250228434;0.049136326386432144;0.40869565217391296;0.047381337539541823;24;-1.3959794370070924;-0.3014935207370453;0.5616120176920305;0.5134363652676667
631;ILF3;0.4050338467037722;0.049599477701856465;0.3208695652173913;0.12632163923076092;24;-1.7139923616571902;-0.393168615516464;0.5616120176920305;0.690483768420649
